name,memory,store,N,M,R,subgroups,smem,bin
segsort_hybmerge_sg8_smem16k_n512_m256_block,hybmerge,block,512,256,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m32_block,hybmerge,block,512,32,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m64_block,hybmerge,block,512,64,8,8,16,9
segsort_hybmerge_sg8_smem16k_n64_m16_block,hybmerge,block,64,16,8,8,16,6
segsort_hybmerge_sg8_smem16k_n64_m32_block,hybmerge,block,64,32,8,8,16,6
segsort_hybrid_sg16_n1024_m128_block,hybrid,block,1024,128,16,16,16,10
segsort_hybrid_sg16_n1024_m256_block,hybrid,block,1024,256,16,16,16,10
segsort_hybrid_sg16_n1024_m32_block,hybrid,block,1024,32,16,16,16,10
segsort_hybrid_sg16_n1024_m64_block,hybrid,block,1024,64,16,16,16,10
segsort_hybrid_sg16_n128_m32_block,hybrid,block,128,32,16,16,16,7
segsort_hybrid_sg16_n128_m64_block,hybrid,block,128,64,16,16,16,7
segsort_hybrid_sg16_n2048_m128_block,hybrid,block,2048,128,16,16,16,11
segsort_hybrid_sg16_n2048_m256_block,hybrid,block,2048,256,16,16,16,11
segsort_hybrid_sg16_n2048_m64_block,hybrid,block,2048,64,16,16,16,11
segsort_hybrid_sg16_n256_m128_block,hybrid,block,256,128,16,16,16,8
segsort_hybrid_sg16_n256_m32_block,hybrid,block,256,32,16,16,16,8
segsort_hybrid_sg16_n256_m64_block,hybrid,block,256,64,16,16,16,8
segsort_hybrid_sg16_n512_m128_block,hybrid,block,512,128,16,16,16,9
segsort_hybrid_sg16_n512_m256_block,hybrid,block,512,256,16,16,16,9
segsort_hybrid_sg16_n512_m32_block,hybrid,block,512,32,16,16,16,9
segsort_hybrid_sg16_n512_m64_block,hybrid,block,512,64,16,16,16,9
segsort_hybrid_sg16_n64_m32_block,hybrid,block,64,32,16,16,16,6
segsort_hybrid_sg32_n1024_m128_block,hybrid,block,1024,128,32,32,16,10
segsort_hybrid_sg32_n1024_m256_block,hybrid,block,1024,256,32,32,16,10
segsort_hybrid_sg32_n1024_m64_block,hybrid,block,1024,64,32,32,16,10
segsort_hybrid_sg32_n128_m64_block,hybrid,block,128,64,32,32,16,7
segsort_hybrid_sg32_n2048_m128_block,hybrid,block,2048,128,32,32,16,11
segsort_hybrid_sg32_n2048_m256_block,hybrid,block,2048,256,32,32,16,11
segsort_hybrid_sg32_n2048_m64_block,hybrid,block,2048,64,32,32,16,11
segsort_hybrid_sg32_n256_m128_block,hybrid,block,256,128,32,32,16,8
segsort_hybrid_sg32_n256_m64_block,hybrid,block,256,64,32,32,16,8
segsort_hybrid_sg32_n512_m128_block,hybrid,block,512,128,32,32,16,9
segsort_hybrid_sg32_n512_m256_block,hybrid,block,512,256,32,32,16,9
segsort_hybrid_sg32_n512_m64_block,hybrid,block,512,64,32,32,16,9
segsort_hybrid_sg8_n1024_m128_block,hybrid,block,1024,128,8,8,16,10
segsort_hybrid_sg8_n1024_m256_block,hybrid,block,1024,256,8,8,16,10
segsort_hybrid_sg8_n1024_m32_block,hybrid,block,1024,32,8,8,16,10
segsort_hybrid_sg8_n1024_m64_block,hybrid,block,1024,64,8,8,16,10
segsort_hybrid_sg8_n128_m16_block,hybrid,block,128,16,8,8,16,7
segsort_hybrid_sg8_n128_m32_block,hybrid,block,128,32,8,8,16,7
segsort_hybrid_sg8_n128_m64_block,hybrid,block,128,64,8,8,16,7
segsort_hybrid_sg8_n2048_m128_block,hybrid,block,2048,128,8,8,16,11
segsort_hybrid_sg8_n2048_m256_block,hybrid,block,2048,256,8,8,16,11
segsort_hybrid_sg8_n2048_m64_block,hybrid,block,2048,64,8,8,16,11
segsort_hybrid_sg8_n256_m128_block,hybrid,block,256,128,8,8,16,8
segsort_hybrid_sg8_n256_m16_block,hybrid,block,256,16,8,8,16,8
segsort_hybrid_sg8_n256_m32_block,hybrid,block,256,32,8,8,16,8
segsort_hybrid_sg8_n256_m64_block,hybrid,block,256,64,8,8,16,8
segsort_hybrid_sg8_n32_m16_block,hybrid,block,32,16,8,8,16,5
segsort_hybrid_sg8_n512_m128_block,hybrid,block,512,128,8,8,16,9
segsort_hybrid_sg8_n512_m16_block,hybrid,block,512,16,8,8,16,9
segsort_hybrid_sg8_n512_m256_block,hybrid,block,512,256,8,8,16,9
segsort_hybrid_sg8_n512_m32_block,hybrid,block,512,32,8,8,16,9
segsort_hybrid_sg8_n512_m64_block,hybrid,block,512,64,8,8,16,9
segsort_hybrid_sg8_n64_m16_block,hybrid,block,64,16,8,8,16,6
segsort_hybrid_sg8_n64_m32_block,hybrid,block,64,32,8,8,16,6
segsort_reg_n1024_m16_block,reg,block,1024,16,32,32,16,10
segsort_reg_n1024_m32_block,reg,block,1024,32,32,32,16,10
segsort_reg_n1024_m8_block,reg,block,1024,8,32,32,16,10
segsort_reg_n128_m16_block,reg,block,128,16,32,32,16,7
segsort_reg_n128_m32_block,reg,block,128,32,32,32,16,7
segsort_reg_n128_m8_block,reg,block,128,8,32,32,16,7
segsort_reg_n16_m16_block,reg,block,16,16,32,32,16,4
segsort_reg_n16_m8_block,reg,block,16,8,32,32,16,4
segsort_reg_n2048_m16_block,reg,block,2048,16,32,32,16,11
segsort_reg_n2048_m32_block,reg,block,2048,32,32,32,16,11
segsort_reg_n2048_m8_block,reg,block,2048,8,32,32,16,11
segsort_reg_n256_m16_block,reg,block,256,16,32,32,16,8
segsort_reg_n256_m32_block,reg,block,256,32,32,32,16,8
segsort_reg_n256_m8_block,reg,block,256,8,32,32,16,8
segsort_reg_n2_m2_block,reg,block,2,2,32,32,16,1
segsort_reg_n32_m16_block,reg,block,32,16,32,32,16,5
segsort_reg_n32_m32_block,reg,block,32,32,32,32,16,5
segsort_reg_n32_m8_block,reg,block,32,8,32,32,16,5
segsort_reg_n4_m4_block,reg,block,4,4,32,32,16,2
segsort_reg_n512_m16_block,reg,block,512,16,32,32,16,9
segsort_reg_n512_m32_block,reg,block,512,32,32,32,16,9
segsort_reg_n512_m8_block,reg,block,512,8,32,32,16,9
segsort_reg_n64_m16_block,reg,block,64,16,32,32,16,6
segsort_reg_n64_m32_block,reg,block,64,32,32,32,16,6
segsort_reg_n64_m8_block,reg,block,64,8,32,32,16,6
segsort_reg_n8_m8_block,reg,block,8,8,32,32,16,3
segsort_wg_n1024_m128_block,smem,block,1024,128,32,32,16,10
segsort_wg_n1024_m256_block,smem,block,1024,256,32,32,16,10
segsort_wg_n1024_m32_block,smem,block,1024,32,32,32,16,10
segsort_wg_n1024_m64_block,smem,block,1024,64,32,32,16,10
segsort_wg_n128_m16_block,smem,block,128,16,32,32,16,7
segsort_wg_n128_m32_block,smem,block,128,32,32,32,16,7
segsort_wg_n128_m4_block,smem,block,128,4,32,32,16,7
segsort_wg_n128_m64_block,smem,block,128,64,32,32,16,7
segsort_wg_n128_m8_block,smem,block,128,8,32,32,16,7
segsort_wg_n16_m1_block,smem,block,16,1,32,32,16,4
segsort_wg_n16_m2_block,smem,block,16,2,32,32,16,4
segsort_wg_n16_m4_block,smem,block,16,4,32,32,16,4
segsort_wg_n16_m8_block,smem,block,16,8,32,32,16,4
segsort_wg_n2048_m128_block,smem,block,2048,128,32,32,16,11
segsort_wg_n2048_m256_block,smem,block,2048,256,32,32,16,11
segsort_wg_n2048_m64_block,smem,block,2048,64,32,32,16,11
segsort_wg_n256_m128_block,smem,block,256,128,32,32,16,8
segsort_wg_n256_m16_block,smem,block,256,16,32,32,16,8
segsort_wg_n256_m32_block,smem,block,256,32,32,32,16,8
segsort_wg_n256_m64_block,smem,block,256,64,32,32,16,8
segsort_wg_n256_m8_block,smem,block,256,8,32,32,16,8
segsort_wg_n2_m1_block,smem,block,2,1,32,32,16,1
segsort_wg_n32_m16_block,smem,block,32,16,32,32,16,5
segsort_wg_n32_m1_block,smem,block,32,1,32,32,16,5
segsort_wg_n32_m2_block,smem,block,32,2,32,32,16,5
segsort_wg_n32_m4_block,smem,block,32,4,32,32,16,5
segsort_wg_n32_m8_block,smem,block,32,8,32,32,16,5
segsort_wg_n4_m1_block,smem,block,4,1,32,32,16,2
segsort_wg_n4_m2_block,smem,block,4,2,32,32,16,2
segsort_wg_n512_m128_block,smem,block,512,128,32,32,16,9
segsort_wg_n512_m16_block,smem,block,512,16,32,32,16,9
segsort_wg_n512_m256_block,smem,block,512,256,32,32,16,9
segsort_wg_n512_m32_block,smem,block,512,32,32,32,16,9
segsort_wg_n512_m64_block,smem,block,512,64,32,32,16,9
segsort_wg_n64_m16_block,smem,block,64,16,32,32,16,6
segsort_wg_n64_m2_block,smem,block,64,2,32,32,16,6
segsort_wg_n64_m32_block,smem,block,64,32,32,32,16,6
segsort_wg_n64_m4_block,smem,block,64,4,32,32,16,6
segsort_wg_n64_m8_block,smem,block,64,8,32,32,16,6
segsort_wg_n8_m1_block,smem,block,8,1,32,32,16,3
segsort_wg_n8_m2_block,smem,block,8,2,32,32,16,3
segsort_wg_n8_m4_block,smem,block,8,4,32,32,16,3
segsort_hybmerge_sg16_smem16k_n1024_m128_striped,hybmerge,striped,1024,128,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m256_striped,hybmerge,striped,1024,256,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m32_striped,hybmerge,striped,1024,32,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m64_striped,hybmerge,striped,1024,64,16,16,16,10
segsort_hybmerge_sg16_smem16k_n128_m32_striped,hybmerge,striped,128,32,16,16,16,7
segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,128,64,16,16,16,7
segsort_hybmerge_sg16_smem16k_n2048_m128_striped,hybmerge,striped,2048,128,16,16,16,11
segsort_hybmerge_sg16_smem16k_n2048_m256_striped,hybmerge,striped,2048,256,16,16,16,11
segsort_hybmerge_sg16_smem16k_n2048_m64_striped,hybmerge,striped,2048,64,16,16,16,11
segsort_hybmerge_sg16_smem16k_n256_m128_striped,hybmerge,striped,256,128,16,16,16,8
segsort_hybmerge_sg16_smem16k_n256_m32_striped,hybmerge,striped,256,32,16,16,16,8
segsort_hybmerge_sg16_smem16k_n256_m64_striped,hybmerge,striped,256,64,16,16,16,8
segsort_hybmerge_sg16_smem16k_n512_m128_striped,hybmerge,striped,512,128,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m256_striped,hybmerge,striped,512,256,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m32_striped,hybmerge,striped,512,32,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m64_striped,hybmerge,striped,512,64,16,16,16,9
segsort_hybmerge_sg16_smem16k_n64_m32_striped,hybmerge,striped,64,32,16,16,16,6
segsort_hybmerge_sg32_smem16k_n1024_m128_striped,hybmerge,striped,1024,128,32,32,16,10
segsort_hybmerge_sg32_smem16k_n1024_m256_striped,hybmerge,striped,1024,256,32,32,16,10
segsort_hybmerge_sg32_smem16k_n1024_m64_striped,hybmerge,striped,1024,64,32,32,16,10
segsort_hybmerge_sg32_smem16k_n128_m64_striped,hybmerge,striped,128,64,32,32,16,7
segsort_hybmerge_sg32_smem16k_n2048_m128_striped,hybmerge,striped,2048,128,32,32,16,11
segsort_hybmerge_sg32_smem16k_n2048_m256_striped,hybmerge,striped,2048,256,32,32,16,11
segsort_hybmerge_sg32_smem16k_n2048_m64_striped,hybmerge,striped,2048,64,32,32,16,11
segsort_hybmerge_sg32_smem16k_n256_m128_striped,hybmerge,striped,256,128,32,32,16,8
segsort_hybmerge_sg32_smem16k_n256_m64_striped,hybmerge,striped,256,64,32,32,16,8
segsort_hybmerge_sg32_smem16k_n512_m128_striped,hybmerge,striped,512,128,32,32,16,9
segsort_hybmerge_sg32_smem16k_n512_m256_striped,hybmerge,striped,512,256,32,32,16,9
segsort_hybmerge_sg32_smem16k_n512_m64_striped,hybmerge,striped,512,64,32,32,16,9
segsort_hybmerge_sg8_smem16k_n1024_m128_striped,hybmerge,striped,1024,128,8,8,16,10
segsort_hybmerge_sg8_smem16k_n1024_m256_striped,hybmerge,striped,1024,256,8,8,16,10
segsort_hybmerge_sg8_smem16k_n1024_m32_striped,hybmerge,striped,1024,32,8,8,16,10
segsort_hybmerge_sg8_smem16k_n1024_m64_striped,hybmerge,striped,1024,64,8,8,16,10
segsort_hybmerge_sg8_smem16k_n128_m16_striped,hybmerge,striped,128,16,8,8,16,7
segsort_hybmerge_sg8_smem16k_n128_m32_striped,hybmerge,striped,128,32,8,8,16,7
segsort_hybmerge_sg8_smem16k_n128_m64_striped,hybmerge,striped,128,64,8,8,16,7
segsort_hybmerge_sg8_smem16k_n2048_m128_striped,hybmerge,striped,2048,128,8,8,16,11
segsort_hybmerge_sg8_smem16k_n2048_m256_striped,hybmerge,striped,2048,256,8,8,16,11
segsort_hybmerge_sg8_smem16k_n2048_m64_striped,hybmerge,striped,2048,64,8,8,16,11
segsort_hybmerge_sg8_smem16k_n256_m128_striped,hybmerge,striped,256,128,8,8,16,8
segsort_hybmerge_sg8_smem16k_n256_m16_striped,hybmerge,striped,256,16,8,8,16,8
segsort_hybmerge_sg8_smem16k_n256_m32_striped,hybmerge,striped,256,32,8,8,16,8
segsort_hybmerge_sg8_smem16k_n256_m64_striped,hybmerge,striped,256,64,8,8,16,8
segsort_hybmerge_sg8_smem16k_n32_m16_striped,hybmerge,striped,32,16,8,8,16,5
segsort_hybmerge_sg8_smem16k_n512_m128_striped,hybmerge,striped,512,128,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m16_striped,hybmerge,striped,512,16,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m256_striped,hybmerge,striped,512,256,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m32_striped,hybmerge,striped,512,32,8,8,16,9
segsort_hybmerge_sg8_smem16k_n512_m64_striped,hybmerge,striped,512,64,8,8,16,9
segsort_hybmerge_sg8_smem16k_n64_m16_striped,hybmerge,striped,64,16,8,8,16,6
segsort_hybmerge_sg8_smem16k_n64_m32_striped,hybmerge,striped,64,32,8,8,16,6
segsort_hybrid_sg16_n1024_m128_striped,hybrid,striped,1024,128,16,16,16,10
segsort_hybrid_sg16_n1024_m256_striped,hybrid,striped,1024,256,16,16,16,10
segsort_hybrid_sg16_n1024_m32_striped,hybrid,striped,1024,32,16,16,16,10
segsort_hybrid_sg16_n1024_m64_striped,hybrid,striped,1024,64,16,16,16,10
segsort_hybrid_sg16_n128_m32_striped,hybrid,striped,128,32,16,16,16,7
segsort_hybrid_sg16_n128_m64_striped,hybrid,striped,128,64,16,16,16,7
segsort_hybrid_sg16_n2048_m128_striped,hybrid,striped,2048,128,16,16,16,11
segsort_hybrid_sg16_n2048_m256_striped,hybrid,striped,2048,256,16,16,16,11
segsort_hybrid_sg16_n2048_m64_striped,hybrid,striped,2048,64,16,16,16,11
segsort_hybrid_sg16_n256_m128_striped,hybrid,striped,256,128,16,16,16,8
segsort_hybrid_sg16_n256_m32_striped,hybrid,striped,256,32,16,16,16,8
segsort_hybrid_sg16_n256_m64_striped,hybrid,striped,256,64,16,16,16,8
segsort_hybrid_sg16_n512_m128_striped,hybrid,striped,512,128,16,16,16,9
segsort_hybrid_sg16_n512_m256_striped,hybrid,striped,512,256,16,16,16,9
segsort_hybrid_sg16_n512_m32_striped,hybrid,striped,512,32,16,16,16,9
segsort_hybrid_sg16_n512_m64_striped,hybrid,striped,512,64,16,16,16,9
segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,64,32,16,16,16,6
segsort_hybrid_sg32_n1024_m128_striped,hybrid,striped,1024,128,32,32,16,10
segsort_hybrid_sg32_n1024_m256_striped,hybrid,striped,1024,256,32,32,16,10
segsort_hybrid_sg32_n1024_m64_striped,hybrid,striped,1024,64,32,32,16,10
segsort_hybrid_sg32_n128_m64_striped,hybrid,striped,128,64,32,32,16,7
segsort_hybrid_sg32_n2048_m128_striped,hybrid,striped,2048,128,32,32,16,11
segsort_hybrid_sg32_n2048_m256_striped,hybrid,striped,2048,256,32,32,16,11
segsort_hybrid_sg32_n2048_m64_striped,hybrid,striped,2048,64,32,32,16,11
segsort_hybrid_sg32_n256_m128_striped,hybrid,striped,256,128,32,32,16,8
segsort_hybrid_sg32_n256_m64_striped,hybrid,striped,256,64,32,32,16,8
segsort_hybrid_sg32_n512_m128_striped,hybrid,striped,512,128,32,32,16,9
segsort_hybrid_sg32_n512_m256_striped,hybrid,striped,512,256,32,32,16,9
segsort_hybrid_sg32_n512_m64_striped,hybrid,striped,512,64,32,32,16,9
segsort_hybrid_sg8_n1024_m128_striped,hybrid,striped,1024,128,8,8,16,10
segsort_hybrid_sg8_n1024_m256_striped,hybrid,striped,1024,256,8,8,16,10
segsort_hybrid_sg8_n1024_m32_striped,hybrid,striped,1024,32,8,8,16,10
segsort_hybrid_sg8_n1024_m64_striped,hybrid,striped,1024,64,8,8,16,10
segsort_hybrid_sg8_n128_m16_striped,hybrid,striped,128,16,8,8,16,7
segsort_hybrid_sg8_n128_m32_striped,hybrid,striped,128,32,8,8,16,7
segsort_hybrid_sg8_n128_m64_striped,hybrid,striped,128,64,8,8,16,7
segsort_hybrid_sg8_n2048_m128_striped,hybrid,striped,2048,128,8,8,16,11
segsort_hybrid_sg8_n2048_m256_striped,hybrid,striped,2048,256,8,8,16,11
segsort_hybrid_sg8_n2048_m64_striped,hybrid,striped,2048,64,8,8,16,11
segsort_hybrid_sg8_n256_m128_striped,hybrid,striped,256,128,8,8,16,8
segsort_hybrid_sg8_n256_m16_striped,hybrid,striped,256,16,8,8,16,8
segsort_hybrid_sg8_n256_m32_striped,hybrid,striped,256,32,8,8,16,8
segsort_hybrid_sg8_n256_m64_striped,hybrid,striped,256,64,8,8,16,8
segsort_hybrid_sg8_n32_m16_striped,hybrid,striped,32,16,8,8,16,5
segsort_hybrid_sg8_n512_m128_striped,hybrid,striped,512,128,8,8,16,9
segsort_hybrid_sg8_n512_m16_striped,hybrid,striped,512,16,8,8,16,9
segsort_hybrid_sg8_n512_m256_striped,hybrid,striped,512,256,8,8,16,9
segsort_hybrid_sg8_n512_m32_striped,hybrid,striped,512,32,8,8,16,9
segsort_hybrid_sg8_n512_m64_striped,hybrid,striped,512,64,8,8,16,9
segsort_hybrid_sg8_n64_m16_striped,hybrid,striped,64,16,8,8,16,6
segsort_hybrid_sg8_n64_m32_striped,hybrid,striped,64,32,8,8,16,6
segsort_reg_n1024_m16_striped,reg,striped,1024,16,32,32,16,10
segsort_reg_n1024_m32_striped,reg,striped,1024,32,32,32,16,10
segsort_reg_n1024_m8_striped,reg,striped,1024,8,32,32,16,10
segsort_reg_n128_m16_striped,reg,striped,128,16,32,32,16,7
segsort_reg_n128_m32_striped,reg,striped,128,32,32,32,16,7
segsort_reg_n128_m8_striped,reg,striped,128,8,32,32,16,7
segsort_reg_n16_m16_striped,reg,striped,16,16,32,32,16,4
segsort_reg_n16_m8_striped,reg,striped,16,8,32,32,16,4
segsort_reg_n2048_m32_striped,reg,striped,2048,32,32,32,16,11
segsort_reg_n256_m16_striped,reg,striped,256,16,32,32,16,8
segsort_reg_n256_m32_striped,reg,striped,256,32,32,32,16,8
segsort_reg_n256_m8_striped,reg,striped,256,8,32,32,16,8
segsort_reg_n2_m2_striped,reg,striped,2,2,32,32,16,1
segsort_reg_n32_m16_striped,reg,striped,32,16,32,32,16,5
segsort_reg_n32_m32_striped,reg,striped,32,32,32,32,16,5
segsort_reg_n32_m8_striped,reg,striped,32,8,32,32,16,5
segsort_reg_n4_m4_striped,reg,striped,4,4,32,32,16,2
segsort_reg_n512_m16_striped,reg,striped,512,16,32,32,16,9
segsort_reg_n512_m32_striped,reg,striped,512,32,32,32,16,9
segsort_reg_n512_m8_striped,reg,striped,512,8,32,32,16,9
segsort_reg_n64_m16_striped,reg,striped,64,16,32,32,16,6
segsort_reg_n64_m32_striped,reg,striped,64,32,32,32,16,6
segsort_reg_n64_m8_striped,reg,striped,64,8,32,32,16,6
segsort_reg_n8_m8_striped,reg,striped,8,8,32,32,16,3
segsort_wg_n1024_m128_striped,smem,striped,1024,128,32,32,16,10
segsort_wg_n1024_m256_striped,smem,striped,1024,256,32,32,16,10
segsort_wg_n1024_m32_striped,smem,striped,1024,32,32,32,16,10
segsort_wg_n1024_m64_striped,smem,striped,1024,64,32,32,16,10
segsort_wg_n128_m16_striped,smem,striped,128,16,32,32,16,7
segsort_wg_n128_m32_striped,smem,striped,128,32,32,32,16,7
segsort_wg_n128_m4_striped,smem,striped,128,4,32,32,16,7
segsort_wg_n128_m64_striped,smem,striped,128,64,32,32,16,7
segsort_wg_n128_m8_striped,smem,striped,128,8,32,32,16,7
segsort_wg_n16_m1_striped,smem,striped,16,1,32,32,16,4
segsort_wg_n16_m2_striped,smem,striped,16,2,32,32,16,4
segsort_wg_n16_m4_striped,smem,striped,16,4,32,32,16,4
segsort_wg_n16_m8_striped,smem,striped,16,8,32,32,16,4
segsort_wg_n2048_m128_striped,smem,striped,2048,128,32,32,16,11
segsort_wg_n2048_m256_striped,smem,striped,2048,256,32,32,16,11
segsort_wg_n2048_m64_striped,smem,striped,2048,64,32,32,16,11
segsort_wg_n256_m128_striped,smem,striped,256,128,32,32,16,8
segsort_wg_n256_m16_striped,smem,striped,256,16,32,32,16,8
segsort_wg_n256_m32_striped,smem,striped,256,32,32,32,16,8
segsort_wg_n256_m64_striped,smem,striped,256,64,32,32,16,8
segsort_wg_n256_m8_striped,smem,striped,256,8,32,32,16,8
segsort_wg_n2_m1_striped,smem,striped,2,1,32,32,16,1
segsort_wg_n32_m16_striped,smem,striped,32,16,32,32,16,5
segsort_wg_n32_m1_striped,smem,striped,32,1,32,32,16,5
segsort_wg_n32_m2_striped,smem,striped,32,2,32,32,16,5
segsort_wg_n32_m4_striped,smem,striped,32,4,32,32,16,5
segsort_wg_n32_m8_striped,smem,striped,32,8,32,32,16,5
segsort_wg_n4_m1_striped,smem,striped,4,1,32,32,16,2
segsort_wg_n4_m2_striped,smem,striped,4,2,32,32,16,2
segsort_wg_n512_m128_striped,smem,striped,512,128,32,32,16,9
segsort_wg_n512_m16_striped,smem,striped,512,16,32,32,16,9
segsort_wg_n512_m256_striped,smem,striped,512,256,32,32,16,9
segsort_wg_n512_m32_striped,smem,striped,512,32,32,32,16,9
segsort_wg_n512_m64_striped,smem,striped,512,64,32,32,16,9
segsort_wg_n64_m16_striped,smem,striped,64,16,32,32,16,6
segsort_wg_n64_m2_striped,smem,striped,64,2,32,32,16,6
segsort_wg_n64_m32_striped,smem,striped,64,32,32,32,16,6
segsort_wg_n64_m4_striped,smem,striped,64,4,32,32,16,6
segsort_wg_n64_m8_striped,smem,striped,64,8,32,32,16,6
segsort_wg_n8_m1_striped,smem,striped,8,1,32,32,16,3
segsort_wg_n8_m2_striped,smem,striped,8,2,32,32,16,3
segsort_wg_n8_m4_striped,smem,striped,8,4,32,32,16,3
segsort_hybrid_sg16_n1024_m32_block_smem32k,hybrid,block,1024,32,16,16,32,10
segsort_hybrid_sg16_n1024_m64_block_smem32k,hybrid,block,1024,64,16,16,32,10
segsort_hybrid_sg16_n2048_m128_block_smem32k,hybrid,block,2048,128,16,16,32,11
segsort_hybrid_sg16_n2048_m64_block_smem32k,hybrid,block,2048,64,16,16,32,11
segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,512,32,16,16,32,9
